complaint,language,category,subcategory,department,priority,severity_score,district_type,confidence_label
वार्ड 9 में सामुदायिक भवन के सामने स्ट्रीट लाइट पिछले दस दिनों से बंद है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,51,Urban,High
मुख्य बाजार जाने वाली सड़क पर कोई भी स्ट्रीट लाइट नहीं जल रही।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,73,Urban,High
बस स्टैंड के सामने वाली लाइट बार-बार टिमटिमाती है।,Hindi,Street Lights,Flickering Street Light,Electrical Department,Medium,42,Urban,High
गांव के प्रवेश मार्ग की स्ट्रीट लाइट कई दिनों से खराब है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,70,Rural,High
दिन में भी स्ट्रीट लाइट चालू रहती है कृपया टाइमर ठीक करें।,Hindi,Street Lights,Street Light Timing Issue,Electrical Department,Low,21,Urban,High
विद्यालय के पास बिजली के पोल में करंट जैसा महसूस हो रहा है।,Hindi,Street Lights,Electrical Fault,Electrical Department,Ultra High,91,Rural,High
रेलवे स्टेशन रोड की लाइटें बंद होने से दुर्घटना का खतरा है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,79,Urban,High
स्ट्रीट लाइट का पोल झुक गया है और कभी भी गिर सकता है।,Hindi,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,92,Urban,High
कालोनी की आखिरी गली में अंधेरा रहता है क्योंकि लाइट खराब है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,46,Urban,High
स्वास्थ्य केंद्र के बाहर लगी एलईडी लाइट लगातार झपक रही है।,Hindi,Street Lights,Flickering Street Light,Electrical Department,Medium,44,Rural,High
15 दिनों से शिकायत कर रहे हैं लेकिन लाइट अभी तक ठीक नहीं हुई।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,68,Urban,High
ग्राम पंचायत कार्यालय के सामने स्ट्रीट लाइट बंद पड़ी है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,49,Rural,High
बिजली के पोल से चिंगारी निकल रही है। तुरंत कार्रवाई करें।,Hindi,Street Lights,Electrical Fault,Electrical Department,Ultra High,96,Urban,High
वार्ड 21 में दो पोल की लाइट बिल्कुल नहीं जलती।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,48,Urban,High
मंदिर के पास लगा पोल क्षतिग्रस्त है और लाइट बंद है।,Hindi,Street Lights,Damaged Street Light Pole,Electrical Department,High,76,Rural,High
रात में पूरी सड़क अंधेरी रहती है जल्द मरम्मत करें।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,72,Urban,High
स्ट्रीट लाइट देर रात चालू होती है टाइम सही नहीं है।,Hindi,Street Lights,Street Light Timing Issue,Electrical Department,Medium,39,Urban,High
Colony ke andar wali light 20 din se off hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,Medium,49,Urban,High
School road pe raat ko bilkul light nahi hoti.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,73,Urban,High
Pole se current jaisa lag raha hai pls jaldi dekho.,Hinglish,Street Lights,Electrical Fault,Electrical Department,Ultra High,95,Urban,High
Street light roz on off hoti rehti hai.,Hinglish,Street Lights,Flickering Street Light,Electrical Department,Medium,40,Urban,High
Gaon ke bus stop ke paas ek bhi light nahi chal rhi.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,71,Rural,High
Light din bhar jalti rehti h waste ho raha hai.,Hinglish,Street Lights,Street Light Timing Issue,Electrical Department,Low,22,Urban,High
Bridge ke side wala pole toot gaya hai.,Hinglish,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,89,Urban,High
Ward 14 me 2 light kharab padi hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,Medium,45,Urban,High
Hospital road andhera rehta hai raat ko.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,75,Urban,High
Market ke samne LED blink kar rhi hai.,Hinglish,Street Lights,Flickering Street Light,Electrical Department,Medium,43,Urban,High
Mandir ke paas wali light ka wire shyd loose hai.,Hinglish,Street Lights,Electrical Fault,Electrical Department,High,81,Rural,High
Street light repair ki complaint pe koi action nahi hua.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,Medium,50,Urban,High
Road pura dark rehta hai pls light thik kro.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,74,Urban,High
Pole tedha ho gaya hai accident ho skta hai.,Hinglish,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,91,Urban,High
Light bahut late on hoti hai har roj.,Hinglish,Street Lights,Street Light Timing Issue,Electrical Department,Medium,38,Urban,High
Village ke entrance pe street light dead hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,69,Rural,High
Street light near Ward 4 water tank has been out for over two weeks.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,49,Urban,High
Every pole on Gandhi Marg between the post office and the bank is dark at night.,English,Street Lights,Street Light Not Working,Electrical Department,High,77,Urban,High
The street light beside the government primary school keeps switching on and off.,English,Street Lights,Flickering Street Light,Electrical Department,Medium,46,Rural,High
Damaged street light pole near the milk dairy is creating a safety risk.,English,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,92,Rural,High
The timer is faulty. Lights come on only after midnight.,English,Street Lights,Street Light Timing Issue,Electrical Department,Medium,41,Urban,High
Our lane behind the police station has no working street lights.,English,Street Lights,Street Light Not Working,Electrical Department,High,71,Urban,High
Street light outside House No. 112 has stopped working since 5 July.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,45,Urban,High
The pole near Shiv Mandir is making buzzing sounds before the light goes off.,English,Street Lights,Electrical Fault,Electrical Department,High,84,Urban,High
Please repair the broken LED street light near the vegetable mandi entrance.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,48,Urban,High
Entire road connecting the bus depot to the hospital is without street lighting.,English,Street Lights,Street Light Not Working,Electrical Department,High,80,Urban,High
The street light outside our apartment flickers all night.,English,Street Lights,Flickering Street Light,Electrical Department,Low,32,Urban,High
Electric pole carrying the street light has cracked after heavy winds.,English,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,90,Urban,High
Street lights in Ward 2 remain ON even after sunrise.,English,Street Lights,Street Light Timing Issue,Electrical Department,Low,20,Urban,High
Darkness near the river bridge is causing accidents. Lights are not functioning.,English,Street Lights,Street Light Not Working,Electrical Department,Ultra High,89,Rural,High
Only the last two street lights in Lotus Colony are not working.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,44,Urban,High
There is sparking from the junction box of the street light near the park.,English,Street Lights,Electrical Fault,Electrical Department,Ultra High,95,Urban,High
The newly installed light in Silver Enclave has never worked.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,52,Urban,High
वार्ड 7 की गली नंबर 5 में स्ट्रीट लाइट पिछले 12 दिनों से बंद है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,50,Urban,High
मुख्य चौक से बस स्टैंड तक सभी स्ट्रीट लाइट खराब हैं।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,76,Urban,High
स्ट्रीट लाइट पूरी रात झपकती रहती है।,Hindi,Street Lights,Flickering Street Light,Electrical Department,Low,35,Urban,High
गांव के श्मशान घाट जाने वाले रास्ते पर अंधेरा रहता है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,79,Rural,High
दिन के समय भी पोल की लाइट जलती रहती है।,Hindi,Street Lights,Street Light Timing Issue,Electrical Department,Low,18,Urban,High
बिजली के पोल से आवाज आ रही है और चिंगारी भी दिख रही है।,Hindi,Street Lights,Electrical Fault,Electrical Department,Ultra High,97,Urban,High
अस्पताल के सामने लगा पोल क्षतिग्रस्त है।,Hindi,Street Lights,Damaged Street Light Pole,Electrical Department,High,82,Urban,High
कॉलोनी के पीछे वाली सड़क पर कई दिनों से अंधेरा है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,47,Urban,High
रेलवे कॉलोनी की स्ट्रीट लाइट अचानक बंद हो गई।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,45,Urban,High
विद्यालय के पास वाली एलईडी लाइट टिमटिमा रही है।,Hindi,Street Lights,Flickering Street Light,Electrical Department,Medium,43,Rural,High
ग्राम चंदनपुर की मुख्य सड़क की लाइटें खराब हैं।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,72,Rural,High
पिछले महीने नई लाइट लगाई गई थी लेकिन अभी तक चालू नहीं हुई।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,51,Urban,High
वार्ड 19 में दो पोल गिरने की स्थिति में हैं।,Hindi,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,91,Urban,High
स्ट्रीट लाइट रात में बहुत देर से चालू होती है।,Hindi,Street Lights,Street Light Timing Issue,Electrical Department,Medium,39,Urban,High
मंडी रोड पर पूरी लाइन की लाइट बंद है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,74,Urban,High
मंदिर के पास बिजली का कनेक्शन खराब लगता है।,Hindi,Street Lights,Electrical Fault,Electrical Department,High,83,Rural,High
बस स्टैंड वाली सड़क पर रोशनी नहीं होने से परेशानी है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,70,Urban,High
Street light 3 din se off hai Ward 10 me.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,Medium,46,Urban,High
Bus stop ke samne light blink kr rhi h.,Hinglish,Street Lights,Flickering Street Light,Electrical Department,Medium,42,Urban,High
Gaon ki main gali andheri rehti hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,71,Rural,High
Pole damage ho gaya h truck lagne se.,Hinglish,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,90,Urban,High
Light subah tak jalti rehti hai timer kharab h.,Hinglish,Street Lights,Street Light Timing Issue,Electrical Department,Low,21,Urban,High
Hospital road pe ek bhi light work nahi kr rhi.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,75,Urban,High
Current jaisa aa raha h pole ke pass.,Hinglish,Street Lights,Electrical Fault,Electrical Department,Ultra High,96,Urban,High
School ke bahar wali LED dead ho gayi.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,Medium,48,Urban,High
Mandi road ki sari lights off hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,73,Urban,High
Pole tedha ho gaya pls jaldi repair karo.,Hinglish,Street Lights,Damaged Street Light Pole,Electrical Department,High,81,Urban,High
Roz raat ko light on off hoti rehti hai.,Hinglish,Street Lights,Flickering Street Light,Electrical Department,Medium,40,Urban,High
Village school ke pass andhera rehta h.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,68,Rural,High
Street light kabhi time pe on hi nahi hoti.,Hinglish,Street Lights,Street Light Timing Issue,Electrical Department,Medium,38,Urban,High
Wire se spark nikal raha hai pole ke upar.,Hinglish,Street Lights,Electrical Fault,Electrical Department,Ultra High,94,Urban,High
Colony entrance ki light pichle 15 din se band hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,Medium,50,Urban,High
Temple road pe 2 pole ki light kharab hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,72,Rural,High
Street light near Ambedkar Chowk has not been working since last Friday.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,46,Urban,High
The road connecting Ward 22 to the water treatment plant is completely dark every night.,English,Street Lights,Street Light Not Working,Electrical Department,High,78,Urban,High
One of the street light poles near the public library is bent after a storm.,English,Street Lights,Damaged Street Light Pole,Electrical Department,High,82,Urban,High
Street lights outside Sunrise Hospital switch off within an hour of turning on.,English,Street Lights,Street Light Timing Issue,Electrical Department,High,67,Urban,High
Please repair the flickering street light near Lakshmi Market. It is disturbing residents.,English,Street Lights,Flickering Street Light,Electrical Department,Medium,44,Urban,High
The lane behind the municipal office has remained without lighting for ten days.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,50,Urban,High
Electric sparks were noticed from the street light junction near the flyover.,English,Street Lights,Electrical Fault,Electrical Department,Ultra High,96,Urban,High
The light pole near the children's park is cracked and may collapse.,English,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,91,Urban,High
Street lights in our village stop working whenever it rains.,English,Street Lights,Electrical Fault,Electrical Department,High,72,Rural,High
Only the first street light at Green Park Colony entrance is not functioning.,English,Street Lights,Street Light Not Working,Electrical Department,Low,31,Urban,High
Street lights near the fish market remain ON throughout the afternoon.,English,Street Lights,Street Light Timing Issue,Electrical Department,Low,22,Urban,High
The road near Ward 17 Anganwadi is unsafe because the lights are out.,English,Street Lights,Street Light Not Working,Electrical Department,High,74,Urban,High
Please replace the damaged LED fitting on the pole near the temple gate.,English,Street Lights,Damaged Street Light Pole,Electrical Department,Medium,48,Urban,High
The street light opposite the petrol pump blinks continuously all night.,English,Street Lights,Flickering Street Light,Electrical Department,Medium,41,Urban,High
None of the lights are working on the road leading to the grain market.,English,Street Lights,Street Light Not Working,Electrical Department,High,79,Rural,High
Street light outside House No. 8 in Nehru Colony has never worked after installation.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,52,Urban,High
There is a burning smell coming from the street light control box near the bus stop.,English,Street Lights,Electrical Fault,Electrical Department,Ultra High,94,Urban,High
वार्ड 14 के पार्क के बाहर स्ट्रीट लाइट पिछले एक सप्ताह से बंद है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,49,Urban,High
मुख्य सड़क की सभी स्ट्रीट लाइट एक साथ बंद हो गई हैं।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,81,Urban,High
स्कूल के सामने लगी लाइट लगातार टिमटिमा रही है।,Hindi,Street Lights,Flickering Street Light,Electrical Department,Medium,43,Urban,High
गांव की चौपाल तक जाने वाले रास्ते में रात को बिल्कुल अंधेरा रहता है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,73,Rural,High
दिन में भी स्ट्रीट लाइट बंद नहीं होती।,Hindi,Street Lights,Street Light Timing Issue,Electrical Department,Low,19,Urban,High
बिजली के पोल से धुआं निकल रहा है तुरंत जांच करें।,Hindi,Street Lights,Electrical Fault,Electrical Department,Ultra High,97,Urban,High
बस अड्डे के पास लगा पोल टूटने की हालत में है।,Hindi,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,90,Urban,High
कॉलोनी की दूसरी गली में कई दिनों से लाइट नहीं जल रही।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,47,Urban,High
स्वास्थ्य केंद्र के सामने पूरी रात अंधेरा रहता है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,75,Rural,High
रेलवे पुल के नीचे की लाइट खराब है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,45,Urban,High
स्ट्रीट लाइट का कनेक्शन ढीला लगता है।,Hindi,Street Lights,Electrical Fault,Electrical Department,High,80,Urban,High
नई बस्ती में लगाए गए पोल की लाइट कभी चालू नहीं हुई।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,53,Urban,High
वार्ड 2 की गली नंबर 8 में दो पोल खराब हैं।,Hindi,Street Lights,Damaged Street Light Pole,Electrical Department,High,76,Urban,High
मंडी रोड की लाइट देर रात चालू होती है।,Hindi,Street Lights,Street Light Timing Issue,Electrical Department,Medium,40,Urban,High
ग्राम बोरई में मंदिर के पास की स्ट्रीट लाइट बंद है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,51,Rural,High
चिंगारी निकलने से लोगों में डर का माहौल है।,Hindi,Street Lights,Electrical Fault,Electrical Department,Ultra High,95,Urban,High
सड़क किनारे लगा पोल वाहन की टक्कर से झुक गया है।,Hindi,Street Lights,Damaged Street Light Pole,Electrical Department,High,84,Urban,High
Street light Ward 3 me kal se band hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,Medium,44,Urban,High
School ke samne wali light blink krti rehti h.,Hinglish,Street Lights,Flickering Street Light,Electrical Department,Medium,42,Urban,High
Gaon ke talab wale road pe koi light nahi jalti.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,72,Rural,High
Pole pe truck lag gaya ab light bhi off hai.,Hinglish,Street Lights,Damaged Street Light Pole,Electrical Department,High,83,Urban,High
Light din me bhi on rehti hai pls timer fix kro.,Hinglish,Street Lights,Street Light Timing Issue,Electrical Department,Low,20,Urban,High
Pole se smoke aa raha hai bahut dangerous hai.,Hinglish,Street Lights,Electrical Fault,Electrical Department,Ultra High,98,Urban,High
Hospital ke pass andhera rehta h har raat.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,74,Urban,High
Market wali gali ki 4 lights ek sath band hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,77,Urban,High
Light kabhi jalti hai kabhi band ho jati hai.,Hinglish,Street Lights,Flickering Street Light,Electrical Department,Medium,39,Urban,High
Village road pe pole seedha nahi hai gir skta hai.,Hinglish,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,89,Rural,High
Street light ka wire loose lag raha hai.,Hinglish,Street Lights,Electrical Fault,Electrical Department,High,79,Urban,High
Colony ke entrance ki LED dead ho chuki hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,Medium,48,Urban,High
Bus stand road pe light late on hoti h.,Hinglish,Street Lights,Street Light Timing Issue,Electrical Department,Medium,37,Urban,High
Ward 11 me pura stretch dark rehta hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,73,Urban,High
Temple ke bahar wali light 2 hafte se kharab hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,Medium,50,Rural,High
Pole se chingari nikal rhi h pls urgent repair.,Hinglish,Street Lights,Electrical Fault,Electrical Department,Ultra High,93,Urban,High
Street light near Ward 30 community center has remained off since last month.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,54,Urban,High
The entire road beside Krishna Lake is dark because every street light has failed.,English,Street Lights,Street Light Not Working,Electrical Department,High,81,Urban,High
One pole near the government girls school is leaning dangerously after heavy rain.,English,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,92,Urban,High
The street light outside the dispensary keeps blinking every few seconds.,English,Street Lights,Flickering Street Light,Electrical Department,Medium,43,Urban,High
Street lights on Station Road turn off before 10 PM every night.,English,Street Lights,Street Light Timing Issue,Electrical Department,Medium,40,Urban,High
Please fix the broken light near the Hanuman statue in Ward 6.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,47,Urban,High
There is a loose electrical wire hanging from the street light pole near the market.,English,Street Lights,Electrical Fault,Electrical Department,Ultra High,95,Urban,High
Village road leading to the health sub-centre has no functioning street lights.,English,Street Lights,Street Light Not Working,Electrical Department,High,74,Rural,High
The LED street light installed last week has never switched on.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,51,Urban,High
Street light beside the public toilet is making buzzing sounds.,English,Street Lights,Electrical Fault,Electrical Department,High,83,Urban,High
Two street lights near the overbridge have stopped working together.,English,Street Lights,Street Light Not Working,Electrical Department,High,72,Urban,High
The light pole near Ward 1 bus stop is damaged by a truck.,English,Street Lights,Damaged Street Light Pole,Electrical Department,High,84,Urban,High
Our colony entrance remains completely dark after sunset.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,49,Urban,High
Street lights near the railway colony stay on even after sunrise.,English,Street Lights,Street Light Timing Issue,Electrical Department,Low,18,Urban,High
The service road behind City Hospital has no lighting at all.,English,Street Lights,Street Light Not Working,Electrical Department,High,76,Urban,High
Sparking is visible from the electrical box controlling the street lights.,English,Street Lights,Electrical Fault,Electrical Department,Ultra High,97,Urban,High
The light outside the panchayat office has been dead for 20 days.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,52,Rural,High
वार्ड 16 की मुख्य गली में स्ट्रीट लाइट पिछले 15 दिनों से खराब है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,50,Urban,High
बस स्टैंड से अस्पताल तक सभी लाइटें बंद हैं।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,80,Urban,High
स्ट्रीट लाइट बार-बार जलकर बंद हो जाती है।,Hindi,Street Lights,Flickering Street Light,Electrical Department,Medium,42,Urban,High
गांव की सड़क पर लगा बिजली का पोल टूट गया है।,Hindi,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,93,Rural,High
दिन में भी स्ट्रीट लाइट जलती रहती है।,Hindi,Street Lights,Street Light Timing Issue,Electrical Department,Low,19,Urban,High
बिजली के तार से चिंगारी निकल रही है।,Hindi,Street Lights,Electrical Fault,Electrical Department,Ultra High,98,Urban,High
विद्यालय के सामने की स्ट्रीट लाइट बंद है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,71,Urban,High
ग्राम पंचायत भवन के पास पूरी रात अंधेरा रहता है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,73,Rural,High
मंदिर के सामने लगी एलईडी लाइट टिमटिमा रही है।,Hindi,Street Lights,Flickering Street Light,Electrical Department,Medium,41,Urban,High
वार्ड 25 में दो पोल की लाइट नहीं जल रही।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,48,Urban,High
रेलवे स्टेशन वाली सड़क अंधेरी रहती है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,77,Urban,High
स्ट्रीट लाइट का टाइमर सही नहीं चल रहा।,Hindi,Street Lights,Street Light Timing Issue,Electrical Department,Medium,38,Urban,High
पोल वाहन की टक्कर से झुक गया है।,Hindi,Street Lights,Damaged Street Light Pole,Electrical Department,High,82,Urban,High
कॉलोनी के गेट पर लगी लाइट कई महीनों से खराब है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,53,Urban,High
स्वास्थ्य केंद्र के पास करंट जैसा महसूस हो रहा है।,Hindi,Street Lights,Electrical Fault,Electrical Department,Ultra High,94,Rural,High
तालाब वाले रास्ते पर रात में बिल्कुल रोशनी नहीं रहती।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,75,Rural,High
नई कॉलोनी में लगी स्ट्रीट लाइट आज तक चालू नहीं हुई।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,46,Urban,High
Ward 18 ki street light 5 din se off hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,Medium,45,Urban,High
School road pe light blink kar rhi hai.,Hinglish,Street Lights,Flickering Street Light,Electrical Department,Medium,40,Urban,High
Gaon ke chowk pe ek bhi light nahi chal rhi.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,74,Rural,High
Pole truck se takra gaya ab girne wala hai.,Hinglish,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,91,Urban,High
Street light ka timer galat chal raha h.,Hinglish,Street Lights,Street Light Timing Issue,Electrical Department,Medium,37,Urban,High
Pole ke wire se spark aa raha hai.,Hinglish,Street Lights,Electrical Fault,Electrical Department,Ultra High,96,Urban,High
Hospital ke bahar wali light dead hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,70,Urban,High
Bus stand ke piche pura andhera rehta hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,72,Urban,High
Mandir ke samne LED flicker krti rehti hai.,Hinglish,Street Lights,Flickering Street Light,Electrical Department,Medium,43,Urban,High
Village road pe 3 poles ki light band hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,76,Rural,High
Pole ka base toot gaya hai urgent repair chahiye.,Hinglish,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,90,Urban,High
Street light subah tak jalti rehti h.,Hinglish,Street Lights,Street Light Timing Issue,Electrical Department,Low,21,Urban,High
Market ke pass current leak ho raha h.,Hinglish,Street Lights,Electrical Fault,Electrical Department,Ultra High,95,Urban,High
Colony wali road pe light nahi jalti.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,Medium,49,Urban,High
Ward 8 ke corner pe light pichle month se kharab hai.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,Medium,52,Urban,High
Railway crossing ke pass andhera rehta h.,Hinglish,Street Lights,Street Light Not Working,Electrical Department,High,73,Urban,High
Street light near Ward 13 municipal garden has been off for 12 days.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,48,Urban,High
The entire stretch between Civil Court and Collector Office has no street lighting.,English,Street Lights,Street Light Not Working,Electrical Department,High,82,Urban,High
Street light outside the old age home flickers continuously after sunset.,English,Street Lights,Flickering Street Light,Electrical Department,Medium,42,Urban,High
The pole near the shopping complex is badly damaged after a vehicle crash.,English,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,94,Urban,High
The automatic timer is faulty. Lights switch on around midnight only.,English,Street Lights,Street Light Timing Issue,Electrical Department,Medium,39,Urban,High
Street light near Ward 8 ration shop has stopped working again.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,45,Urban,High
Loose electrical connection is causing sparks near the stadium road pole.,English,Street Lights,Electrical Fault,Electrical Department,Ultra High,97,Urban,High
Village road towards the canal is completely dark because all lights are off.,English,Street Lights,Street Light Not Working,Electrical Department,High,75,Rural,High
Newly installed LED street light outside the college is not working.,English,Street Lights,Street Light Not Working,Electrical Department,Medium,50,Urban,High
The street light beside the post office keeps blinking every night.,English,Street Lights,Flickering Street Light,Electrical Department,Medium,43,Urban,High
Three consecutive poles on MG Road have stopped working.,English,Street Lights,Street Light Not Working,Electrical Department,High,74,Urban,High
The street light pole near the dairy booth is cracked at the bottom.,English,Street Lights,Damaged Street Light Pole,Electrical Department,High,86,Urban,High
Street lights remain switched on throughout the day in Ward 10.,English,Street Lights,Street Light Timing Issue,Electrical Department,Low,18,Urban,High
Complete darkness near the government hostel due to failed street lights.,English,Street Lights,Street Light Not Working,Electrical Department,High,78,Urban,High
Electrical box controlling the lights near the bus terminal is smoking.,English,Street Lights,Electrical Fault,Electrical Department,Ultra High,98,Urban,High
Only one street light near Sai Colony is not functioning.,English,Street Lights,Street Light Not Working,Electrical Department,Low,28,Urban,High
The light pole outside the village school has bent after strong winds.,English,Street Lights,Damaged Street Light Pole,Electrical Department,High,83,Rural,High
वार्ड 5 के सामुदायिक भवन के सामने स्ट्रीट लाइट खराब है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,47,Urban,High
अस्पताल रोड की सभी स्ट्रीट लाइट बंद पड़ी हैं।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,79,Urban,High
स्ट्रीट लाइट पूरी रात टिमटिमाती रहती है।,Hindi,Street Lights,Flickering Street Light,Electrical Department,Medium,41,Urban,High
गांव के बस स्टॉप के पास बिजली का पोल टूट गया है।,Hindi,Street Lights,Damaged Street Light Pole,Electrical Department,Ultra High,95,Rural,High
दिन निकलने के बाद भी स्ट्रीट लाइट बंद नहीं होती।,Hindi,Street Lights,Street Light Timing Issue,Electrical Department,Low,20,Urban,High
पोल से चिंगारी निकल रही है दुर्घटना हो सकती है।,Hindi,Street Lights,Electrical Fault,Electrical Department,Ultra High,99,Urban,High
सरकारी स्कूल के सामने रात में पूरी तरह अंधेरा रहता है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,73,Urban,High
ग्राम हरिपुर की मुख्य सड़क पर कोई स्ट्रीट लाइट नहीं जल रही।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,76,Rural,High
बाजार चौक की एलईडी लाइट लगातार झपक रही है।,Hindi,Street Lights,Flickering Street Light,Electrical Department,Medium,40,Urban,High
वार्ड 27 में तीन पोल की लाइट खराब है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,49,Urban,High
रेलवे स्टेशन जाने वाली सड़क पर रोशनी नहीं है।,Hindi,Street Lights,Street Light Not Working,Electrical Department,High,77,Urban,High
स्ट्रीट लाइट का टाइमर सही समय पर काम नहीं करता।,Hindi,Street Lights,Street Light Timing Issue,Electrical Department,Medium,38,Urban,High
मंदिर के सामने बिजली का पोल झुक गया है।,Hindi,Street Lights,Damaged Street Light Pole,Electrical Department,High,84,Urban,High
कॉलोनी के अंदर नई स्ट्रीट लाइट लगाने के बाद भी चालू नहीं हुई।,Hindi,Street Lights,Street Light Not Working,Electrical Department,Medium,51,Urban,High
